Ticker,Company,CEO,Year,Compensation
PEAK,"Healthpeak Properties, Inc.",Thomas Herzog,2019,9907966
CFG,"Citizens Financial Group, Inc.",Bruce Saun,2019,9898442
GIS,"General Mills, Inc.",Jeffrey Harmening,2019,9855417
MOS,The Mosaic Company,James O'Rourke,2019,9767104
UNM,Unum Group,Richard McKenney,2019,9727186
AEE,Ameren Corporation,Warner Baxter,2019,9718998
K,Kellogg Company,Steven Cahillane,2019,9694223
KEY,KeyCorp,Beth Mooney,2019,9663988
RMD,ResMed Inc.,Michael Farrell,2019,9635100
FTNT,"Fortinet, Inc.",Ken Xie,2019,9629923
SNPS,"Synopsys, Inc.",Aart Geus,2019,9627625
VMC,Vulcan Materials Company,J. Hill,2019,9556186
FFIV,"F5 Networks, Inc.",Francois Locoh-Donou,2019,9473457
NTRS,Northern Trust Corporation,Michael O'Grady,2019,9459768
VAR,"Varian Medical Systems, Inc.",Dow Wilson,2019,9446296
HST,"Host Hotels & Resorts, Inc.",James Risoleo,2019,9434465
KMX,"CarMax, Inc.",William Nash,2020,9400666
STZ,"Constellation Brands, Inc.",William Newlands,2020,9392650
CLX,The Clorox Company,Benno Dorer,2019,9362715
L,Loews Corporation,James Tisch,2019,9312872
WEC,"WEC Energy Group, Inc.",J. Fletcher,2019,9262101
MSCI,MSCI Inc.,Henry Fernandez,2019,9255960
DFS,Discover Financial Services,Roger Hochschild,2019,9250436
PHM,"PulteGroup, Inc.",Ryan Marshall,2019,9216065
DOV,Dover Corporation,Richard Tobin,2019,9149075
NRG,"NRG Energy, Inc.",Mauricio Gutierrez,2019,9146053
MXIM,"Maxim Integrated Products, Inc.",Tunc Doluca,2019,9143785
IEX,IDEX Corporation,Andrew Silvernail,2019,9119596
VRSK,"Verisk Analytics, Inc.",Scott Stephenson,2019,9050882
VRSN,"VeriSign, Inc.",D. Bidzos,2019,9024073
FITB,Fifth Third Bancorp,Greg Carmichael,2019,8999237
CMS,CMS Energy Corporation,Patricia Poppe,2019,8986702
CHD,"Church & Dwight Co., Inc.",Matthew Farrell,2019,8985122
KSS,Kohl's Corporation,Michelle Gass,2020,8983392
SEE,Sealed Air Corporation,Edward Doheny II,2019,8972537
AJG,Arthur J. Gallagher & Co.,J. Gallagher,2019,8960616
GPS,"The Gap, Inc.",Art Peck,2020,8922585
LUV,Southwest Airlines Co.,Gary Kelly,2019,8771124
CF,"CF Industries Holdings, Inc.",W. Will,2019,8758243
MTD,Mettler-Toledo International Inc.,Olivier Filliol,2019,8755320
CHTR,"Charter Communications, Inc.",Thomas Rutledge,2019,8743601
STT,State Street Corporation,Ronald O'Hanley,2019,8699401
FLS,Flowserve Corporation,R. Rowe,2019,8681866
MAS,Masco Corporation,Keith Allman,2019,8659363
TSCO,Tractor Supply Company,Gregory Sandfort,2019,8655358
HII,"Huntington Ingalls Industries, Inc.",C. Petters,2019,8641992
CTAS,Cintas Corporation,Scott Farmer,2019,8621245
AZO,"AutoZone, Inc.",William Rhodes,2019,8617562
ALLE,Allegion Plc,David Petratis,2019,8552445
ALB,Albemarle Corporation,Luther Kissam,2019,8521584
HRB,"H&R Block, Inc.",Jeffrey Jones II,2019,8504020
AVY,Avery Dennison Corporation,Mitchell Butier,2019,8495032
VIAC,ViacomCBS Inc.,Robert Bakish,2019,8365385
GL,Globe Life Inc.,Gary Coleman,2019,8342279
HRL,Hormel Foods Corporation,James Snee,2019,8324267
XYL,Xylem Inc.,Patrick Decker,2019,8317204
ARE,"Alexandria Real Estate Equities, Inc.",Stephen Richardson,2019,8305638
DTE,DTE Energy Company,Gerardo Norcia,2019,8228339
CBOE,"Cboe Global Markets, Inc.",Edward Tilly,2019,8212785
GPC,Genuine Parts Company,Paul Donahue,2019,8169948
COST,Costco Wholesale Corporation,W. Jelinek,2019,8016200
PAYX,"Paychex, Inc.",Martin Mucci,2019,7930520
COO,"The Cooper Companies, Inc.",Albert White III,2019,7724745
CNP,"CenterPoint Energy, Inc.",Scott Prochazka,2019,7724122
COF,Capital One Financial Corporation,Richard Fairbank,2019,7705792
AAP,"Advance Auto Parts, Inc.",Thomas Greco,2019,7691513
GWW,"W.W. Grainger, Inc.",Donald Macpherson,2019,7665127
RE,"Everest Re Group, Ltd.",Dominic Addesso,2019,7650265
FRT,Federal Realty Investment Trust,Donald Wood,2019,7630858
IFF,International Flavors & Fragrances Inc.,Andreas Fibig,2019,7629084
LNT,Alliant Energy Corporation,John Larsen,2019,7619999
NWL,"Newell Brands, Inc.",Ravichandra Saligram,2019,7569502
SNA,Snap-on Incorporated,Nicholas Pinchuk,2019,7560073
O,Realty Income Corporation,Sumit Roy,2019,7514361
HBAN,Huntington Bancshares Incorporated,Stephen Steinour,2019,7488685
WAB,Westinghouse Air Brake Technologies Corporation,Rafael Santana,2019,7484027
RHI,Robert Half International Inc.,M. Waddell,2019,7433592
IDXX,"IDEXX Laboratories, Inc.",Jay Mazelsky,2019,7419335
QRVO,"Qorvo, Inc.",Robert Bruggeworth,2020,7394904
APH,Amphenol Corporation,R. Norwitt,2019,7380975
ODFL,"Old Dominion Freight Line, Inc.",Greg Gantt,2019,7344950
NEM,Newmont Corporation,Thomas Palmer,2019,7332204
AIV,Apartment Investment and Management Company,Terry Considine,2019,7305455
BR,"Broadridge Financial Solutions, Inc.",Timothy Gokey,2019,7285994
ULTA,"Ulta Beauty, Inc.",Mary Dillon,2020,7064799
KIM,Kimco Realty Corporation,Conor Flynn,2019,6948567
CPB,Campbell Soup Company,Mark Clouse,2019,6895774
JWN,"Nordstrom, Inc.",Erik Nordstrom,2020,6872303
LW,"Lamb Weston Holdings, Inc.",Thomas Werner,2019,6837282
TFX,Teleflex Incorporated,Liam Kelly,2019,6782758
DRE,Duke Realty Corporation,James Connor,2019,6693904
NI,NiSource Inc.,Joseph Hamrock,2019,6628690
JBHT,"J.B. Hunt Transport Services, Inc.",John Roberts,2019,6588249
EQR,Equity Residential,Mark Parrell,2019,6588161
WST,"West Pharmaceutical Services, Inc.",Eric Green,2019,6533688
ISRG,"Intuitive Surgical, Inc.",Gary Guthart,2019,6470374
STE,STERIS Plc (Ireland),Walter Rosebrough Jr.,2020,6458640
LKQ,LKQ Corporation,Dominick Zarcone,2019,6429072
EXPD,"Expeditors International of Washington, Inc.",Jeffrey Musser,2019,6424455
ESS,"Essex Property Trust, Inc.",Michael Schall,2019,6419864
PNR,Pentair Plc,John Stauch,2019,6413860
EXPE,"Expedia Group, Inc.",Barry Diller,2019,6392072
KSU,Kansas City Southern,Patrick Ottensmeyer,2019,6380412
UDR,"UDR, Inc.",Thomas Toomey,2019,6307734
EXR,Extra Space Storage Inc.,Joseph Margolis,2019,6284975
BF.B,Brown-Forman Corporation,Lawson Whiting,2020,6196407
CDW,CDW Corp.,Christine Leahy,2019,6191797
CE,Celanese Corporation,Lori Ryerkerk,2019,6027803
ETFC,E*TRADE Financial Corporation,Michael Pizzi,2019,6012990
UAA,"Under Armour, Inc.",Kevin Plank,2019,5954169
AWK,"American Water Works Company, Inc.",Susan Story,2019,5918455
FLIR,"FLIR Systems, Inc.",James Cannon,2019,5860241
PCAR,PACCAR Inc,R. Feight,2019,5850648
PBCT,"People's United Financial, Inc.",John Barnes,2019,5800085
EVRG,"Evergy, Inc.",Terry Bassham,2019,5793976
MAA,"Mid-America Apartment Communities, Inc.",H. Bolton,2019,5735898
MTB,M&T Bank Corporation,Rene Jones,2019,5704703
REG,Regency Centers Corporation,Martin Stein,2019,5619541
IR,"Ingersoll Rand, Inc.",Vicente Reynal,2019,5535511
CINF,Cincinnati Financial Corporation,Steven Johnston,2019,5528654
ALK,"Alaska Air Group, Inc.",Bradley Tilden,2019,5528316
DPZ,"Domino's Pizza, Inc.",Richard Allison,2019,5495804
AMCR,Amcor Plc,Ronald Delia,2019,5237557
TAP,Molson Coors Beverage Company,Gavin Hattersley,2019,5234327
MCD,McDonald's Corporation,Christopher Kempczinski,2019,5229155
HFC,HollyFrontier Corporation,George Damiris,2019,5222831
CHRW,"C.H. Robinson Worldwide, Inc.",Robert Biesterfeld,2019,5065928
CMA,Comerica Incorporated,Curtis Farmer,2019,5012505
JKHY,"Jack Henry & Associates, Inc.",David Foss,2019,4851479
ROL,"Rollins, Inc.",Gary Rollins,2019,4780854
LH,Laboratory Corporation of America Holdings,Adam Schechter,2019,4617739
URI,"United Rentals, Inc.",Matthew Flannery,2019,4478261
ZION,"Zions Bancorporation, National Association",Harris Simmons,2019,4341075
PSA,Public Storage,Joseph Russell,2019,4289200
NVR,"NVR, Inc.",Paul Saville,2019,3987000
HBI,Hanesbrands Inc.,"Gerald Evans, Jr.",2019,3956325
PNW,Pinnacle West Capital Corporation,Jeffrey Guldner,2019,3893048
AOS,A. O. Smith Corporation,Kevin Wheeler,2019,3808438
LB,"L Brands, Inc.",Leslie Wexner,2020,3783221
GRMN,Garmin Ltd.,Clifton Pemble,2019,3233412
MKTX,MarketAxess Holdings Inc.,Richard McVey,2019,3222708
MHK,"Mohawk Industries, Inc.",Jeffrey Lorberbaum,2019,3126417
ORLY,"O'Reilly Automotive, Inc.",Gregory Johnson,2019,3080482
NLOK,NortonLifeLock Inc.,Gregory Clark,2019,2921039
ADS,Alliance Data Systems Corporation,Charles Horn,2019,2645684
ORCL,Oracle Corporation,Mark Hurd,2019,2481646
AVGO,Broadcom Inc.,Hock Tan,2019,2366888
FAST,Fastenal Company,Daniel Florness,2019,1759943
AMZN,"Amazon.com, Inc.",Jeffrey Bezos,2019,1681840
ILMN,"Illumina, Inc.",Francis deSouza,2019,1521949
ANET,"Arista Networks, Inc.",Jayshree Ullal,2019,1384171
IPGP,IPG Photonics Corporation,Valentin Gapontsev,2019,1251984
WAT,Waters Corporation,Christopher O'Connell,2019,1084859
DISH,DISH Network Corporation,W. Carlson,2019,1007020
BRK.B,Berkshire Hathaway Inc.,Warren Buffett,2019,374773
CPRT,"Copart, Inc.",A. Adair,2019,156316
TTWO,"Take-Two Interactive Software, Inc.",Strauss Zelnick,2019,109540
KMI,"Kinder Morgan, Inc.",Steven Kean,2019,7270
TWTR,"Twitter, Inc.",Jack Dorsey,2019,1
